Date,Description,Amount
2024-11-23,"Fuel, Special",-224.97
2024-04-24,Coffee Shop,176.7
2024-10-06,Fuel,-468.22
2024-02-17,Online Store,102.02
2024-10-14,Online Store,201.32
2024-08-02,Online Store,-221.81
2024-01-04,Coffee Shop,-159.75
2024-03-20,Online Store,-163.41
2024-02-17,Pharmacy,347.49
2024-11-05,Restaurant,229.73
2024-10-01,Fuel,-121.47
2024-10-09,Restaurant,118.52
2024-07-04,Utilities,-430.44
2024-12-04,Online Store,485.22
2024-04-29,Fuel,-46.59
2024-07-05,Coffee Shop,-290.49
2024-05-16,Fuel,-328.86
2024-05-05,Coffee Shop,-230.05
2024-11-23,Streaming Service,-175.72
2024-01-29,Online Store,305.05
2024-07-24,Restaurant,413.14
2024-10-17,Gym,-0.77
2024-11-25,RideShare,-360.37
2024-10-14,Streaming Service,84.59
2024-10-25,Pharmacy,497.33
2024-03-11,Streaming Service,255.78
2024-02-26,Coffee Shop,292.08
2024-08-04,Utilities,-118.38
2024-08-27,Streaming Service,53.23
2024-01-06,Fuel,36.97
2024-05-16,Gym,-65.23
2024-08-20,Grocery,375.85
2024-05-14,Streaming Service,7.68
2024-02-24,Restaurant,7.66
2024-04-11,Coffee Shop,-338.45
2024-09-28,Grocery,-11.39
2024-02-27,Gym,331.67
2024-06-06,Online Store,378.01
2024-02-10,Fuel,316.02
2024-09-29,Coffee Shop,-24.72
2024-10-08,Coffee Shop,372.43
2024-08-04,Online Store,255.27
2024-12-19,Online Store,-101.01
2024-12-09,Gym,17.58
2024-03-02,Online Store,-161.91
2024-10-28,Streaming Service,-279.78
2024-02-06,Grocery,405.42
2024-06-18,Fuel,-221.52
2024-09-05,Online Store,223.35
2024-10-19,Utilities,284.62
2024-07-27,Online Store,158.98
2024-06-30,Pharmacy,363.84
2024-01-28,Fuel,228.21
2024-02-25,Online Store,36.29
2024-03-12,Pharmacy,-37.37
2024-02-08,RideShare,355.97
2024-02-20,Grocery,40.59
2024-01-08,Fuel,348.7
2024-03-26,Pharmacy,-286.25
2024-07-24,Grocery,-497.84
2024-07-18,Restaurant,285.13
2024-05-26,Pharmacy,230.51
2024-10-11,RideShare,-203.29
2024-01-30,Utilities,-439.04
2024-06-09,Grocery,-23.21
2024-09-28,Coffee Shop,7.83
2024-04-05,Fuel,175.21
2024-04-30,Pharmacy,390.29
2024-05-06,Utilities,119.38
2024-08-02,Utilities,-183.63
2024-05-13,Online Store,-185.82
2024-05-15,Pharmacy,145.5
2024-08-22,Gym,435.73
2024-01-05,RideShare,62.99
2024-02-21,Fuel,5.88
2024-03-08,Gym,379.27
2024-07-08,Restaurant,333.74
2024-12-26,Restaurant,487.23
2024-11-30,"Streaming Service, Special",317.1
2024-06-02,Fuel,-365.71
2024-02-29,Fuel,-344.55
2024-05-24,Utilities,-157.12
2024-12-17,Restaurant,-248.88
2024-01-27,Fuel,329.35
2024-01-23,Grocery,-369.18
2024-05-14,Coffee Shop,51.68
2024-08-06,"Streaming Service, Special",-424.76
2024-12-19,Coffee Shop,334.6
2024-10-25,Streaming Service,-372.55
2024-06-06,Gym,296.12
2024-01-21,Gym,-250.47
2024-02-22,Gym,384.13
2024-07-27,Utilities,425.76
2024-05-01,Coffee Shop,310.77
2024-07-30,Grocery,424.49
2024-07-29,Online Store,287.37
2024-02-25,Pharmacy,358.59
2024-04-23,Online Store,-39.7
2024-06-05,Online Store,160.03
2024-07-23,Gym,-430.58
2024-05-22,Gym,-100.32
2024-10-01,Gym,-384.66
2024-05-13,Coffee Shop,483.55
2024-01-20,Fuel,-154.31
2024-06-09,Pharmacy,11.42
2024-07-16,Utilities,-455.61
2024-08-11,Grocery,306.51
2024-12-17,Online Store,-430.03
2024-12-06,Gym,163.39
2024-03-04,Restaurant,166.89
2024-06-16,Pharmacy,54.41
2024-04-08,Pharmacy,-120.85
2024-03-30,Utilities,-93.92
2024-01-01,Restaurant,-70.11
2024-10-23,Utilities,-35.01
2024-08-14,Online Store,293.74
2024-03-27,Fuel,163.85
2024-11-13,Gym,452.0
2024-04-30,Restaurant,-300.87
2024-01-13,Grocery,-24.86
2024-02-07,RideShare,129.77
2024-04-09,Pharmacy,-256.02
2024-12-01,Grocery,360.44
2024-02-24,Pharmacy,304.11
2024-12-22,Streaming Service,57.41
2024-03-03,RideShare,-35.36
2024-09-28,Streaming Service,450.04
2024-08-14,Utilities,392.02
2024-08-06,Streaming Service,-340.84
2024-08-31,RideShare,-252.76
2024-11-22,Restaurant,21.3
2024-11-16,Online Store,-422.52
2024-05-26,Online Store,-180.29
2024-10-03,Fuel,-268.74
2024-12-21,Coffee Shop,-435.77
2024-07-27,Gym,-84.23
2024-04-15,Pharmacy,269.8
